,District No.,District Name,Location Address,Land Area in Square Miles,Home County,K-12 Enrollment Fall 2017,"Dropout Rate
 (%)",Attendance Rate,Free & Reduced Lunch Eligibility Percentage,Percent of Special Education Students,Average Teacher Salary,Teacher - Avg Yrs of Experience,Teacher - % with Advanced Degree,ACT Composite Score,No. of Students Taking the ACT,Instructional Days,Instructional Minutes,Instructional Hours,4_day_bin,county_population,zip
112,54004,Rosholt School District 54-4,"202 Finley Ave, Rosholt, SD  57260",173.36,Roberts,244,0.0,0.9519,0.389,0.168,"45,578 ",15.5,0.1605,22.1,16,170.0,59951.25,999.1875024999998,0.0,10250.0,57260
113,39004,Rutland School District 39-4,"102 School St, Rutland, SD  57057",125.1,Lake,176,0.0,0.9659,0.318,0.1023,"36,379 ",9.7,0.3462,,2,165.0,57359.75,955.9949999999999,0.0,12350.0,57057
114,55005,Sanborn Central School District 55-5,"40405 SD Hwy 34, Forestburg, SD  57314",395.4,McPherson_Sanborn,179,0.013999999999999999,0.9576,0.358,0.0918,"41,336 ",18.2,0.1633,,6,167.0,62621.0,1043.6833300000003,0.0,2366.0,57314
115,4003,Scotland School District 04-3,"711 4th St, Scotland, SD  57059",257.8,Bon Homme,266,0.0,0.9565,0.305,0.1655,"40,949 ",11.6,0.3673,19.2,17,168.0,63126.666666666664,1052.1111133333332,0.0,6972.0,57059
116,62005,Selby Area School District 62-5,"108 E Dakota St, Selby, SD  57472",652.24,Walworth,184,0.011000000000000001,0.9579,0.266,0.1495,"43,913 ",16.7,0.1772,,9,173.0,65481.666666666664,1091.36111,0.0,5502.0,57472
117,49005,Sioux Falls School District 49-5,"201 E 38th St, Sioux Falls, SD  57105",74.41,Minnehaha,23859,0.024,0.9381,0.434,0.1559,"51,672 ",13.2,0.6364,22.8,958,174.9433962264151,59961.79245283019,999.3632073584904,0.0,183660.0,57105
118,5005,Sioux Valley School District 05-5,"200 Hansina Ave, Volga, SD  57071",185.06,Brookings,653,0.019,0.9585,0.202,0.1424,"45,706 ",13.5,0.16,21.3,33,173.0,64690.333333333336,1078.1722233333332,0.0,33697.0,57071
119,54002,Sisseton School District 54-2,"516 8th Ave W, Sisseton, SD  57262",851.28,Roberts,882,0.012,0.9891,0.654,0.2306,"45,003 ",14.9,0.2478,20.5,33,166.0,62360.666666666664,1039.3444433333334,0.0,10250.0,57262
120,15003,Smee School District 15-3,"12250 SD Hwy 1806, Wakpala, SD  57658",200.38,Corson,200,0.022000000000000002,0.9295,,0.245,"47,523 ",13.6,0.3448,,9,163.0,60480.0,1008.0,0.0,4177.0,57658
121,26005,South Central School District 26-5,"401 Birdsell St, Bonesteel, SD  57317",316.05,Gregory,96,0.10300000000000001,0.9455,0.66,0.1204,"44,148 ",14.5,0.3521,,6,289.6666666666667,101858.0,1697.6333333333332,0.0,4209.0,57317
122,40002,Spearfish School District 40-2,"525 E Illinois St, Spearfish, SD  57783",283.88,Lawrence,2390,0.004,0.9525,0.276,0.1339,"47,623 ",13.3,0.3365,23.1,108,172.375,60566.625,1009.44374875,0.0,25018.0,57783
123,57001,Stanley County School District 57-1,"112 S 1st Ave, Fort Pierre, SD  57532",1516.58,Stanley,449,0.009000000000000001,0.9554,0.344,0.1514,"42,518 ",14.1,0.2696,19.1,18,160.0,63463.5,1057.7249983333334,1.0,2994.0,57532
