District Number,District Name,School Name,School Number,Calendar Name,Instructional Days,Instructional Minutes,Instructional Hours,Operating 4 Day
55005,Sanborn Central 55-5,Upland Colony ,5,17-18 Upland Colony  6-8,167,61070,1017.83333,No
4003,Scotland 04-3,Scotland Elementary School,2,17-18 Scotland Elementary Scho,168,60300,1005,No
4003,Scotland 04-3,Scotland High School,1,17-18 Scotland High School,168,64540,1075.66667,No
4003,Scotland 04-3,Scotland Middle School,5,17-18 Scotland Middle School,168,64540,1075.66667,No
62005,Selby  Area 62-5,Selby Elem K-6,2,17-18 Selby Elem K-6,173,63763,1062.71667,No
62005,Selby  Area 62-5,Selby Hi Sch,1,17-18 Selby Hi Sch,173,66341,1105.68333,No
62005,Selby  Area 62-5,Selby Jr Hi,3,17-18 Selby Jr Hi,173,66341,1105.68333,No
49005,Sioux Falls 49-5,All City Elementary,50,17-18 All City Elementary,172,59670,994.5,No
49005,Sioux Falls 49-5,Anne Sullivan Elementary,20,17-18 Anne Sullivan Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Bridges at Horace Mann,52,17-18 Bridges at Horace Mann,172,56385,939.75,No
49005,Sioux Falls 49-5,Challenge Center,51,17-18 Challenge Center,172,58920,982,No
49005,Sioux Falls 49-5,Cleveland Elementary,14,17-18 Cleveland Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Community Campus,41,17-18 Community Campus,174,58290,971.5,No
49005,Sioux Falls 49-5,Discovery Elementary,26,17-18 Discovery Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Edison Middle School,6,17-18 Edison Middle School,172,62207,1036.78333,No
49005,Sioux Falls 49-5,Edison Middle School,6,17-18 Edison Odyssey,172,62376,1039.6,No
49005,Sioux Falls 49-5,Elem. Immersion Center,43,17-18 Elem. Immersion Center,172,56385,939.75,No
49005,Sioux Falls 49-5,Eugene Field A+ Elementary,16,17-18 Eugene Field A+ Elementa,172,58920,982,No
49005,Sioux Falls 49-5,FLEX,45,17-18 FLEX,174,68190,1136.5,No
49005,Sioux Falls 49-5,Garfield Elementary,19,17-18 Garfield Elementary,172,58920,982,No
49005,Sioux Falls 49-5,George McGovern Middle School,9,17-18 George McGovern Middle S,172,62207,1036.78333,No
49005,Sioux Falls 49-5,George McGovern Middle School,9,17-18 George McGovern Odyssey,172,62376,1039.6,No
49005,Sioux Falls 49-5,Harvey Dunn Elementary,54,17-18 Harvey Dunn Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Hawthorne Elementary,56,17-18 Hawthorne Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Hayward Elementary,38,17-18 Hayward Elementary,172,58920,982,No
49005,Sioux Falls 49-5,John F Kennedy Elementary,57,17-18 John F Kennedy Elementar,172,58920,982,No
49005,Sioux Falls 49-5,John Harris Elementary,23,17-18 John Harris Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Laura B. Anderson Elementary,10,17-18 Laura B. Anderson Elemen,172,58920,982,No
49005,Sioux Falls 49-5,Laura Wilder Elementary,31,17-18 Laura Wilder Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Lincoln High School,2,17-18 JoeFoss at Lincoln,174,59428,990.46667,No
49005,Sioux Falls 49-5,Lincoln High School,2,17-18 Lincoln High School,174,59428,990.46667,No
49005,Sioux Falls 49-5,Lowell Elementary,28,17-18 Lowell Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Memorial Middle School,4,17-18 Memorial Middle School,172,62207,1036.78333,No
49005,Sioux Falls 49-5,Memorial Middle School,4,17-18 Memorial Odyssey,172,62376,1039.6,No
49005,Sioux Falls 49-5,MS Immersion Center,53,17-18 MS Immersion McGovern,172,62207,1036.78333,No
49005,Sioux Falls 49-5,MS Immersion Center,53,17-18 MS Immersion Whittier,172,62207,1036.78333,No
49005,Sioux Falls 49-5,New Technology High School,30,17-18 JoeFoss at New Tech,174,59250,987.5,No
49005,Sioux Falls 49-5,New Technology High School,30,17-18 New Technology High Scho,174,59250,987.5,No
49005,Sioux Falls 49-5,Oscar Howe Elementary,58,17-18 Oscar Howe Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Patrick Henry Middle School,7,17-18 Patrick Henry Middle Sch,172,62207,1036.78333,No
49005,Sioux Falls 49-5,Patrick Henry Middle School,7,17-18 Patrick Henry Odyssey,172,62376,1039.6,No
49005,Sioux Falls 49-5,Penitentiary,64,17-18 Penitentiary,174,37320,622,No
49005,Sioux Falls 49-5,R. F. Pettigrew Elementary,17,17-18 R. F. Pettigrew Elementa,172,58920,982,No
49005,Sioux Falls 49-5,Renberg Elementary,42,17-18 Renberg Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Robert Frost Elementary,18,17-18 Robert Frost Elementary,172,58920,982,No
49005,Sioux Falls 49-5,Roosevelt High School,3,17-18 JoeFoss at Roosevelt,174,61315,1021.91667,No
49005,Sioux Falls 49-5,Roosevelt High School,3,17-18 Roosevelt High School,174,61315,1021.91667,No
49005,Sioux Falls 49-5,Rosa Parks Elementary,15,17-18 Rosa Parks Elementary,172,58920,982,No
